,City,Country,Latitude,Longitude,Temperature(F),Humidity,WindSpeed (MPH),Cloudiness
0,Katsuura,JP,33.93,134.5,49.7,84,1.7,0
1,Port Alfred,ZA,-33.59,26.89,68.78,98,3.04,44
2,Ushuaia,AR,-54.81,-68.31,44.6,87,6.93,40
3,Pangnirtung,CA,66.15,-65.72,32.0,82,10.29,75
4,Busselton,AU,-33.64,115.35,63.56,100,16.69,24
5,Oistins,BB,13.07,-59.53,84.2,66,16.11,40
6,Nantucket,US,41.28,-70.1,38.12,93,8.05,90
7,Berlevag,NO,70.86,29.09,29.59,92,36.91,75
8,Qaanaaq,GL,77.48,-69.36,3.53,81,8.08,0
9,Juneau,US,58.3,-134.42,37.4,40,18.34,40
10,Norman Wells,CA,65.28,-126.83,5.0,65,6.93,75
11,Albany,AU,-35.02,117.88,63.56,92,9.53,92
12,Chuy,UY,-33.69,-53.46,69.23,92,8.75,32
13,Hobart,AU,-42.88,147.33,53.6,71,3.36,20
14,Cape Town,ZA,-33.93,18.42,62.6,88,11.41,0
15,Hermanus,ZA,-34.42,19.24,58.7,92,4.16,12
16,Cotonou,BJ,6.37,2.43,84.2,79,13.87,40
17,Langsa,ID,4.47,97.97,70.67,96,2.15,68
18,Cikampek,ID,-6.42,107.46,68.78,94,3.27,0
19,Mahebourg,MU,-20.41,57.7,80.6,88,6.93,75
20,New Norfolk,AU,-42.78,147.06,53.6,71,3.36,20
21,Kaitangata,NZ,-46.28,169.85,61.22,58,33.35,0
22,Bulgan,MN,48.81,103.53,21.98,76,0.47,56
23,Longyearbyen,SJ,78.22,15.64,8.6,50,16.11,75
24,Cherskiy,RU,68.75,161.3,30.35,75,6.06,8
25,Batagay-Alyta,RU,67.8,130.41,7.4,85,4.94,80
26,Jaisalmer,IN,26.91,70.91,77.06,42,7.52,0
27,Torbay,CA,47.66,-52.73,30.2,63,4.7,75
28,Chokurdakh,RU,70.62,147.9,20.0,80,7.85,68
29,Jamestown,SH,-15.94,-5.72,74.63,100,13.44,20
30,Talnakh,RU,69.49,88.39,-11.06,73,9.64,64
31,Ponta do Sol,CV,17.2,-25.09,68.96,100,13.78,32
32,Pierre,US,44.37,-100.35,17.6,67,14.99,40
33,The Valley,AI,18.22,-63.06,82.4,61,9.17,20
34,Rikitea,PF,-23.12,-134.97,80.03,100,12.44,88
35,San Felipe,VE,10.34,-68.74,80.03,62,3.38,68
36,Siocon,PH,11.03,124.04,77.78,100,2.37,12
37,Constitucion,CL,-35.33,-72.42,59.33,95,4.16,20
38,Hervey Bay,AU,-25.3,152.85,72.74,100,16.8,100
39,Jaragua,BR,-15.76,-49.33,72.92,95,4.27,32
40,Khatanga,RU,71.98,102.47,-24.11,36,3.38,24
41,Kapaa,US,22.08,-159.32,76.86,65,4.7,90
42,Castro,CL,-42.48,-73.76,59.78,95,11.32,92
